repeat,fingerprint,reproducible_group
1,cfafb263d33a2c94d5d7477cf1dfdc8cb82ea6ac550a50e42705671ebc91d72d,True
2,cfafb263d33a2c94d5d7477cf1dfdc8cb82ea6ac550a50e42705671ebc91d72d,True
