feature,empirical_n,default_moment_l1,calibrated_moment_l1,calibrated_better_l1,default_abs_mean_error,calibrated_abs_mean_error,default_abs_variance_error,calibrated_abs_variance_error
interest_rate,28,0.8555129388984065,0.2424910051244573,True,0.007394623443223225,0.0008716768040656214,0.00011704708441710255,0.00011235581492300897
yield_10y,1012,0.7503301177208445,0.010833577759950128,True,0.0005546463752008693,0.0002845066752764913,0.00013388827006017347,1.1090443527677891e-05
gdp_growth,16,0.07098298623117343,0.010950451395645967,True,0.00027552311446983266,0.0018629459700697446,9.420790456580972e-05,0.00013921870786884655
inflation_cpi,38,1.3100185245413876,1.1419448061566362,True,0.010057213152904778,0.0009200346061648476,0.00011317238690128001,1.655991824303101e-05
