model,n,mae,rmse,directional_accuracy
B0,8940,0.001578296621397314,0.0021302289087254856,0.34500503412014766
E1,8940,0.001579293877644381,0.0021312679248237086,0.345452511466607
C1,8940,0.0015781778989963358,0.0021303952932312555,0.3711824588880188
