repeat,fingerprint,reproducible_group
1,34b9db476763d4d22355280b72faed55f4807752dcfbb489d1cfb45da79bb7fd,True
2,34b9db476763d4d22355280b72faed55f4807752dcfbb489d1cfb45da79bb7fd,True
