event_id,phase,model,mae,rmse,directional_accuracy,delta_vol_mae,regime_dir_acc,n
fed_hike_cycle_2022h2,pre,B0,0.002688432512498592,0.003512273336153753,0.39046199701937406,0.00022113532252531338,0.39046199701937406,672
fed_hike_cycle_2022h2,pre,E1,0.0026886466210959063,0.0035111990212760157,0.39046199701937406,0.00022114662732747558,0.39046199701937406,672
fed_hike_cycle_2022h2,pre,C1,0.0026903699645691743,0.0035140765161893817,0.4098360655737705,0.00022541416992929766,0.4098360655737705,672
fed_hike_cycle_2022h2,during,B0,0.0029178745868893258,0.004096536812067598,0.3638399376886379,0.00020856848892074041,0.3638399376886379,10272
fed_hike_cycle_2022h2,during,E1,0.002917991079806936,0.004096630695155634,0.36393729919189954,0.00020857319103151944,0.36393729919189954,10272
fed_hike_cycle_2022h2,during,C1,0.0029180096581927404,0.0040966573608055765,0.39324311167364423,0.00021346714567213574,0.39324311167364423,10272
fed_hike_cycle_2022h2,post,B0,0.002091083066570843,0.00295053109448639,0.33979135618479883,0.00014396757742856256,0.33979135618479883,672
fed_hike_cycle_2022h2,post,E1,0.0020908376723128745,0.002951039659640029,0.33681073025335323,0.0001439838580427999,0.33681073025335323,672
fed_hike_cycle_2022h2,post,C1,0.0020908193577275167,0.0029506686024685464,0.36661698956780925,0.00015312325297993335,0.36661698956780925,672
svb_banking_stress_2023q1,pre,B0,0.00236158563287252,0.003072264944486753,0.36363636363636365,0.00019046643707692384,0.36363636363636365,672
svb_banking_stress_2023q1,pre,E1,0.0023614900953517863,0.003072210993700864,0.36363636363636365,0.00019045224494366802,0.36363636363636365,672
svb_banking_stress_2023q1,pre,C1,0.0023613927214251097,0.0030721944382777716,0.38152011922503726,0.00019614768930115064,0.38152011922503726,672
svb_banking_stress_2023q1,during,B0,0.003976004023193575,0.005579928150585833,0.36902356902356903,0.0002629434855254367,0.36902356902356903,1486
svb_banking_stress_2023q1,during,E1,0.0039755946542952055,0.005579967065697585,0.37037037037037035,0.00026295219631066504,0.37037037037037035,1486
svb_banking_stress_2023q1,during,C1,0.003975696961632552,0.005579380270216891,0.39595959595959596,0.0002672244105761691,0.39595959595959596,1486
svb_banking_stress_2023q1,post,B0,0.0009451732972290657,0.0011761353979336082,0.3472429210134128,7.964076829277828e-05,0.3472429210134128,672
svb_banking_stress_2023q1,post,E1,0.0009469091096244272,0.0011761426803234797,0.3472429210134128,7.963147286047038e-05,0.3472429210134128,672
svb_banking_stress_2023q1,post,C1,0.0009458481067450762,0.0011757687768020973,0.3889716840536513,8.538036319093788e-05,0.3889716840536513,672
fed_peak_hold_2023h2,pre,B0,0.0012000204032662993,0.0015600668004692717,0.3740685543964232,9.955545480136273e-05,0.3740685543964232,672
fed_peak_hold_2023h2,pre,E1,0.0011968136793793775,0.001559848664102915,0.37555886736214605,9.955313094328576e-05,0.37555886736214605,672
fed_peak_hold_2023h2,pre,C1,0.0011992613599554284,0.0015598308384036656,0.4113263785394933,0.00010316579794892161,0.4113263785394933,672
fed_peak_hold_2023h2,during,B0,0.0010628884453757809,0.0016580860792578655,0.3745895142113011,8.054718439342441e-05,0.3745895142113011,8832
fed_peak_hold_2023h2,during,E1,0.0010633787058952086,0.001658382439591268,0.37492922658815536,8.05486656735608e-05,0.37492922658815536,8832
fed_peak_hold_2023h2,during,C1,0.0010630205678969465,0.0016581975971964385,0.4125240629600272,8.62880949046623e-05,0.4125240629600272,8832
fed_peak_hold_2023h2,post,B0,0.0017846029468155038,0.002245382749407155,0.3710879284649776,0.00014262259736036207,0.3710879284649776,672
fed_peak_hold_2023h2,post,E1,0.0017794253931465661,0.0022447214925431828,0.3710879284649776,0.00014262458923871378,0.3710879284649776,672
fed_peak_hold_2023h2,post,C1,0.0017835930327072694,0.0022448149249828255,0.3949329359165425,0.00014615022828936338,0.3949329359165425,672
yen_carry_vol_2024aug,pre,B0,0.0009821495040913987,0.001145799347005207,0.33979135618479883,9.714153281874847e-05,0.33979135618479883,672
yen_carry_vol_2024aug,pre,E1,0.0009816541753856346,0.0011445303959973113,0.33979135618479883,9.712900058411905e-05,0.33979135618479883,672
yen_carry_vol_2024aug,pre,C1,0.0009838602742941987,0.0011469709527672843,0.3770491803278688,0.00010265904673383992,0.3770491803278688,672
yen_carry_vol_2024aug,during,B0,0.0027975288737588744,0.004044546905093032,0.3379694019471488,0.00019854957920331626,0.3379694019471488,720
yen_carry_vol_2024aug,during,E1,0.002795423613954926,0.004041642546979773,0.3379694019471488,0.00019853833889529152,0.3379694019471488,720
yen_carry_vol_2024aug,during,C1,0.00279644327779486,0.004042932938443005,0.36022253129346316,0.00020198135507498678,0.36022253129346316,720
yen_carry_vol_2024aug,post,B0,0.001163777169981874,0.0015215972868728863,0.368107302533532,0.00010811965218441417,0.368107302533532,672
yen_carry_vol_2024aug,post,E1,0.001163225011817203,0.0015222559699893526,0.368107302533532,0.00010810703695485343,0.368107302533532,672
yen_carry_vol_2024aug,post,C1,0.001163968905133289,0.0015218409926783685,0.4172876304023845,0.00011282415980300671,0.4172876304023845,672
