feature,empirical_n,default_moment_l1,calibrated_moment_l1,calibrated_better_l1,default_abs_mean_error,calibrated_abs_mean_error,default_abs_variance_error,calibrated_abs_variance_error
interest_rate,50000,1.6780795471738756,1.0820851186619245,True,0.010517829502444627,0.032323275052785524,9.116465717727573e-05,0.00012326548212088917
yield_10y,50000,1.2187197021847984,0.8262484321300678,True,0.002240899746333118,0.008560379568946681,6.384305345930554e-05,5.02497662300937e-06
gdp_growth,50000,0.6900409814865259,0.07372188605462567,True,0.0039551624716292685,0.004383136117266803,1.6558648000808055e-05,0.00015452380878731476
inflation_cpi,49999,39.206435424653904,38.965046158891475,True,0.022489604158553476,0.055159936766331116,7.869013812443972e-05,0.00011952346578127252
