bootstrap_i,mae_e1_minus_b0
83,-2.507874558453551e-07
84,-3.4970691811016946e-07
85,-5.130264605500597e-07
86,-5.388582155815141e-07
87,-3.957946686167571e-07
88,-4.1906132670628364e-07
89,-2.0790181307094903e-07
90,-2.5329503254762666e-07
91,-3.864290549480433e-07
92,-5.168004815914867e-07
93,-2.0573563005131523e-07
94,-2.911140435705138e-07
95,-2.5909864270344703e-07
96,-3.6170984170726984e-07
97,-2.3408085741971618e-07
98,-3.926933640394613e-07
99,-1.779835553101898e-07
100,-6.646601837629555e-07
101,-2.6589910620132724e-07
102,-1.8513689856647017e-07
103,-3.204440234623636e-07
104,-3.2403160755544586e-07
105,-2.106352106564808e-07
106,-5.485223432551926e-07
107,9.25028615819494e-08
108,-3.1466892879252265e-07
109,-1.801761294812406e-07
110,-2.1242778755026052e-07
111,-4.4499217161076375e-07
112,-2.6652238579527934e-07
113,-4.3856128225197057e-07
114,-6.978533900830163e-07
115,-2.734054704396291e-07
116,-6.201357842902828e-07
117,-1.6261713978605458e-07
118,-2.835249229243657e-07
119,-2.9959484942692315e-07
120,-3.552696530378062e-07
121,-1.4930909891580288e-07
122,-2.836694017655829e-07
123,-3.3101501668722846e-07
124,-2.7524479674070554e-07
125,-1.3712605629353884e-07
126,-4.537736300372873e-07
127,-3.2453538456925744e-07
128,-3.662902231093418e-09
129,-1.435943775131114e-07
130,-1.350160666656417e-07
131,-4.135487126335959e-07
132,-5.788793207913041e-07
133,-1.5612351383616566e-07
134,-4.242329423578481e-07
135,-1.787246003623344e-07
136,-4.4353652240585774e-07
137,-6.061968559922283e-07
138,-2.0484746330131677e-07
139,-4.247385730479433e-07
140,-3.0075527106460977e-07
141,-3.986902520542769e-07
142,-6.480805464152521e-07
143,-2.534411736466319e-07
144,-4.358352262874565e-07
145,-4.881302627806911e-07
146,-2.552186484439719e-07
147,7.002032674833202e-08
148,-2.507182507679225e-07
149,-1.8995419132561073e-07
150,-1.7065905290997684e-07
151,-2.429316224019599e-07
152,-4.7394391424404256e-07
153,-2.504404524631635e-07
154,-3.01663199096195e-07
155,-1.7215616183313687e-07
156,-4.710260705714179e-07
157,-6.086348687713017e-08
158,-2.2029090648010598e-07
159,-5.697288034923424e-07
160,-3.0231212534660365e-07
161,-2.0989031371244048e-07
162,-2.3593257242370339e-07
163,-3.2825735609949905e-07
164,-4.213750076545019e-07
165,-1.3315011998527027e-07
166,-4.894626597067714e-07
167,-6.843240981692367e-09
168,-3.1224702978175506e-07
169,-1.31469216947417e-07
170,-3.343501450124315e-07
171,-3.636071169953181e-07
172,-2.3989625965890535e-07
173,-2.2760705142388198e-07
174,-2.831707896521797e-07
175,-3.79964886447438e-07
176,-3.6709902843674175e-07
177,-1.989859258649026e-07
178,-1.0072330479892443e-07
179,-2.462238047349144e-07
180,-4.778862318377281e-07
181,-2.682190896421445e-07
182,-1.4259488584182634e-07
183,-4.357972491558174e-07
184,-3.597479282340093e-07
185,-2.544569294592094e-07
186,-2.9788713526977297e-07
187,-1.6647320434464395e-07
188,-1.9238417926109065e-07
189,-5.043560655231157e-07
190,-2.501899517191007e-07
191,-2.8405145388404017e-07
192,-1.0978795025331188e-07
193,-3.243824888770567e-07
194,-1.486618979760438e-07
195,-2.0425174811233328e-07
196,-2.723488311104274e-07
197,-4.6452297788055277e-07
198,-3.841325625941229e-07
199,-5.436280651022977e-07
