model,n,mae,rmse,directional_accuracy
B0,29881,0.002214617952386802,0.0030832288463932063,0.34421017402945114
E1,29881,0.0022146179523868026,0.0030832288463932063,0.34421017402945114
C1,29881,0.0022146179523868026,0.0030832288463932063,0.34421017402945114
