model,n,mae,rmse,mape,directional_accuracy
B0,8940,0.001578296621397314,0.0021302289087254856,0.32474252535472803,0.34500503412014766
E1,8940,0.0015837533501191316,0.0021360497831848057,0.3246777934214821,0.34634746615952566
C1,8940,0.0015802823654440374,0.0021315778949738237,0.3248508090152883,0.4267815191855912
